_id	type	street	neighborhood	council_district
2386	Crosswalk - Two Lined	GALVESTON AVE	Allegheny West	1
2387	Crosswalk - Two Lined	GALVESTON AVE	Allegheny West	1
2388	Crosswalk - Two Lined	GALVESTON AVE	Allegheny West	1
2389	Crosswalk - Two Lined	GALVESTON AVE	Allegheny West	1
2390	Crosswalk - Two Lined	GALVESTON AVE	Allegheny West	1
2391	Crosswalk - Two Lined	MONTEREY ST	Central Northside	1
2392	Crosswalk - Two Lined	MONTEREY ST	Central Northside	1
2393	Crosswalk - Two Lined	BUENA VISTA ST	Central Northside	6
2394	Crosswalk - Two Lined	BUENA VISTA ST	Perry South	6
2395	Crosswalk - Two Lined	PALO ALTO ST	Central Northside	1
2396	Crosswalk - Two Lined	S NEGLEY AVE	East Liberty	9
2397	Crosswalk - Two Lined	N TAYLOR AVE	Central Northside	1
2398	Crosswalk - Two Lined	N TAYLOR AVE	Central Northside	1
2399	Crosswalk - Two Lined	SHERMAN AVE	Central Northside	6
2400	Crosswalk - Two Lined	JACKSONIA ST	Central Northside	6
2401	Crosswalk - Two Lined	JACKSONIA ST	Central Northside	6
2402	Crosswalk - Two Lined	JACKSONIA ST	Central Northside	6
2403	Crosswalk - Two Lined	JACKSONIA ST	Central Northside	6
2404	Crosswalk - Two Lined	JACKSONIA ST	Central Northside	6
2405	Crosswalk - Two Lined	JACKSONIA ST	Central Northside	6
2406	Crosswalk - Two Lined	GARFIELD AVE	Central Northside	6
2407	Crosswalk - Two Lined	PENN AVE	Friendship	9
2408	Crosswalk - Two Lined	MACE WAY	Central Northside	6
2409	Crosswalk - Two Lined	SAMPSONIA ST	Central Northside	6
2410	Crosswalk - Two Lined	HEMLOCK ST	Central Northside	6
2411	Crosswalk - Continental	PARKHURST ST	Central Northside	1
2412	Crosswalk - Two Lined	ALPINE AVE	Central Northside	6
2413	Crosswalk - Two Lined	HENDERSON ST	Fineview	6
2414	Crosswalk - Two Lined	MERCY ST	Fineview	6
2415	Crosswalk - Two Lined	LAFAYETTE AVE	Perry South	6
2416	Crosswalk - Two Lined	LAFAYETTE AVE	Perry South	6
2417	Crosswalk - Two Lined	MCCLINTOCK AVE	Perry South	6
2418	Crosswalk - Two Lined	N NEGLEY AVE	East Liberty	9
2419	Crosswalk - Two Lined	N CHARLES ST	Perry South	6
2420	Crosswalk - Two Lined	N CHARLES ST	Perry South	6
2421	Crosswalk - Two Lined	N CHARLES ST	Perry South	6
2422	Crosswalk - Two Lined	MAGNET ST	Perry South	6
2423	Crosswalk - Two Lined	HAZELTON ST	Perry South	6
2424	Crosswalk - Two Lined	E BURGESS ST	Perry South	6
2425	Crosswalk - Two Lined	W BURGESS ST	Perry South	6
2426	Crosswalk - Two Lined	E MCINTYRE AVE	Perry South	6
2427	Crosswalk - Two Lined	W MCINTYRE AVE	Perry South	6
2428	Crosswalk - Two Lined	MAPLE AVE	Perry South	6
2429	Crosswalk - Two Lined	28TH ST	Strip District	7
2430	Crosswalk - Two Lined	KENNEDY AVE	Perry South	1
2431	Crosswalk - Two Lined	NORWOOD AVE	Perry South	6
2432	Crosswalk - Two Lined	ARVADA WAY	Perry South	6
2433	Crosswalk - Two Lined	LINWOOD AVE	Perry South	6
2434	Crosswalk - Two Lined	KIMBERLIN WAY	Perry South	6
2435	Crosswalk - Two Lined	WILSON AVE	Perry South	6
2436	Crosswalk - Two Lined	ISLAND AVE	California-Kirkbride	6
2437	Crosswalk - Two Lined	ISLAND AVE	California-Kirkbride	1
2438	Crosswalk - Continental	MARSHALL AVE	Manchester	6
2439	Crosswalk - Continental	MARSHALL AVE	California-Kirkbride	6
2440	Crosswalk - Ladder	16TH ST	Strip District	7
2441	Crosswalk - Ladder	LIBERTY AVE	Polish Hill	7
2442	Crosswalk - Continental	MARSHALL AVE	Marshall-Shadeland	1
2443	Crosswalk - Two Lined	MARSHALL AVE	Marshall-Shadeland	1
2444	Crosswalk - Two Lined	MARSHALL AVE	Perry South	6
2445	Crosswalk - Two Lined	MARSHALL AVE	Perry South	6
2446	Crosswalk - Two Lined	MARSHALL AVE	Perry South	6
2447	Crosswalk - Two Lined	MARSHALL AVE	Perry South	1
2448	Crosswalk - Two Lined	MARSHALL AVE	Perry South	1
2449	Crosswalk - Two Lined	MARSHALL AVE	Perry South	1
2450	Crosswalk - Two Lined	MARSHALL AVE	Perry South	1
2451	Crosswalk - Two Lined	MARSHALL AVE	Perry North	1
2452	Crosswalk - Two Lined	KENNEDY AVE	Perry South	1
2453	Crosswalk - Two Lined	KENNEDY AVE	Perry South	1
2454	Crosswalk - Two Lined	HAWKINS ST	Perry South	6
2455	Crosswalk - Two Lined	HAWKINS ST	Perry South	6
2456	Crosswalk - Two Lined	DANBURY ST	Perry South	6
2457	Crosswalk - Two Lined	IRWIN AVE	Perry South	6
2458	Crosswalk - Two Lined	INGHAM ST	Marshall-Shadeland	1
2459	Crosswalk - Two Lined	SUPERIOR AVE	Marshall-Shadeland	1
2460	Crosswalk - Two Lined	SUPERIOR AVE	Marshall-Shadeland	1
2461	Crosswalk - Two Lined	SUPERIOR AVE	Marshall-Shadeland	1
2462	Crosswalk - Two Lined	SUPERIOR AVE	Marshall-Shadeland	1
2463	Crosswalk - Two Lined	COLORADO ST	Marshall-Shadeland	1
2464	Crosswalk - Two Lined	SHADELAND AVE	Marshall-Shadeland	1
2465	Crosswalk - Two Lined	SHADELAND AVE	Marshall-Shadeland	1
2466	Crosswalk - Two Lined	SHADELAND AVE	Marshall-Shadeland	1
2467	Crosswalk - Two Lined	SHADELAND AVE	Marshall-Shadeland	1
2468	Crosswalk - Two Lined	SHADELAND AVE	Marshall-Shadeland	1
2469	Crosswalk - Two Lined	WOODLAND AVE	Marshall-Shadeland	1
2470	Crosswalk - Two Lined	WOODLAND AVE	Marshall-Shadeland	1
2471	Crosswalk - Two Lined	WOODLAND AVE	Marshall-Shadeland	1
2472	Crosswalk - Continental	PENN AVE	Strip District	7
2473	Crosswalk - Two Lined	CASEMENT ST	Marshall-Shadeland	1
2474	Crosswalk - Two Lined	SCHIMMER ST	Marshall-Shadeland	1
2475	Crosswalk - Two Lined	WESTBORN ST	Marshall-Shadeland	1
2476	Crosswalk - Two Lined	WOODS RUN AVE	Brighton Heights	1
2477	Crosswalk - Two Lined	WOODS RUN AVE	Brighton Heights	1
2478	Crosswalk - Two Lined	WOODS RUN AVE	Marshall-Shadeland	1
2479	Crosswalk - Two Lined	CENTRAL AVE	Marshall-Shadeland	1
2480	Crosswalk - Two Lined	MCCLURE AVE	Brighton Heights	1
2481	Crosswalk - Two Lined	MCCLURE AVE	Brighton Heights	1
2482	Crosswalk - Two Lined	MCCLURE AVE	Brighton Heights	1
2483	Crosswalk - Ladder	26TH ST	Strip District	7
2484	Crosswalk - Two Lined	DAVIS AVE	Brighton Heights	1
2485	Crosswalk - Two Lined	DAVIS AVE	Brighton Heights	1
2486	Crosswalk - Two Lined	DAVIS AVE	Brighton Heights	1
2487	Crosswalk - Two Lined	DAVIS AVE	Brighton Heights	1
2488	Crosswalk - Two Lined	DAVIS AVE	Brighton Heights	1
2489	Crosswalk - Two Lined	DAVIS AVE	Brighton Heights	1
2490	Crosswalk - Two Lined	ANTRIM ST	Brighton Heights	1
2491	Crosswalk - Two Lined	ANTRIM ST	Brighton Heights	1
2492	Crosswalk - Two Lined	FLEMING AVE	Brighton Heights	1
2493	Crosswalk - Two Lined	FLEMING AVE	Brighton Heights	1
2494	Crosswalk - Continental	PENN AVE	Strip District	7
2495	Crosswalk - Two Lined	FLEMING AVE	Brighton Heights	1
2496	Crosswalk - Two Lined	MASSACHUSETTS AVE	Brighton Heights	1
2497	Crosswalk - Two Lined	TERMON AVE	Brighton Heights	1
2498	Crosswalk - Two Lined	TERMON AVE	Brighton Heights	1
2499	Crosswalk - Two Lined	TERMON AVE	Brighton Heights	1
2500	Crosswalk - Two Lined	TERMON AVE	Brighton Heights	1
2501	Crosswalk - Continental	MCKEES ROCKS BRG	Brighton Heights	1
2502	Crosswalk - Continental	OHIO RIVER BLVD	Brighton Heights	1
2503	Crosswalk - Continental	OHIO RIVER BLVD	Brighton Heights	1
2504	Crosswalk - Continental	MCKEES ROCKS BRG	Brighton Heights	1
2505	Crosswalk - Two Lined	LIBERTY AVE	Strip District	7
2506	Crosswalk - Two Lined	BRIGHTON HEIGHTS BLVD	Brighton Heights	1
2507	Crosswalk - Two Lined	CALIFORNIA AVE	Brighton Heights	1
2508	Crosswalk - Two Lined	CALIFORNIA AVE	Brighton Heights	1
2509	Crosswalk - Two Lined	CALIFORNIA AVE	Brighton Heights	1
2510	Crosswalk - Two Lined	CALIFORNIA AVE	Brighton Heights	1
2511	Crosswalk - Two Lined	CALIFORNIA AVE	Brighton Heights	1
2512	Crosswalk - Ladder	CALIFORNIA AVE	Brighton Heights	1
2513	Crosswalk - Two Lined	WINHURST ST	Brighton Heights	1
2514	Crosswalk - Two Lined	CHELLIS ST	Brighton Heights	1
2515	Crosswalk - Two Lined	CHELLIS ST	Brighton Heights	1
2516	Crosswalk - Two Lined	26TH ST	Strip District	7
2517	Crosswalk - Two Lined	PERROTT ST	Brighton Heights	1
2518	Crosswalk - Two Lined	CALIFORNIA AVE	Brighton Heights	1
2519	Crosswalk - Two Lined	BENTON AVE	Brighton Heights	1
2520	Crosswalk - Two Lined	BENTON AVE	Brighton Heights	1
2521	Crosswalk - Two Lined	BENTON AVE	Brighton Heights	1
2522	Crosswalk - Two Lined	BASCOM ST	Perry North	1
2523	Crosswalk - Two Lined	VINCETON ST	Perry North	1
2524	Crosswalk - Two Lined	VINCETON ST	Perry North	1
2525	Crosswalk - Two Lined	FRANKLIN RD	Perry North	1
2526	Crosswalk - Two Lined	FRANKLIN RD	Perry North	1
2527	Crosswalk - Two Lined	LIBERTY AVE	Strip District	7
2528	Crosswalk - Two Lined	FRANKLIN RD	Perry North	1
2529	Crosswalk - Two Lined	FRANKLIN RD	Perry North	1
2530	Crosswalk - Two Lined	BONVUE ST	Perry North	1
2531	Crosswalk - Two Lined	WALDORF ST	Perry North	1
2532	Crosswalk - Two Lined	WALDORF ST	Perry North	1
2533	Crosswalk - Two Lined	GRIZELLA ST	Perry North	1
2534	Crosswalk - Two Lined	ZOLIUM ST	Perry North	1
2535	Crosswalk - Two Lined	MAIRDALE AVE	Perry North	1
2536	Crosswalk - Two Lined	SEMICIR ST	Perry North	1
2537	Crosswalk - Two Lined	EAST ST	Perry North	1
2538	Crosswalk - Two Lined	LIGONIER ST	Lower Lawrenceville	7
2539	Crosswalk - Two Lined	EAST ST	Perry North	1
2540	Crosswalk - Two Lined	VENTURE ST	Perry North	1
2541	Crosswalk - Two Lined	WATSON BLVD	Perry North	1
2542	Crosswalk - Continental	RIVERVIEW AVE	Perry North	1
2543	Crosswalk - Two Lined	DELAWARE ST	Perry North	1
2544	Crosswalk - Two Lined	S COMMONS	Allegheny Center	1
2545	Crosswalk - Two Lined	S COMMONS	Allegheny Center	1
2546	Crosswalk - Two Lined	S COMMONS	Allegheny Center	1
2547	Crosswalk - Two Lined	S COMMONS	Allegheny Center	1
2548	Crosswalk - Two Lined	W COMMONS	Allegheny Center	1
2549	Crosswalk - Two Lined	21ST ST	Strip District	7
2550	Crosswalk - Two Lined	LIBERTY AVE	Lower Lawrenceville	7
2551	Crosswalk - Two Lined	W COMMONS	Allegheny Center	1
2552	Crosswalk - Two Lined	N COMMONS	Allegheny Center	1
2553	Crosswalk - Two Lined	N COMMONS	Allegheny Center	1
2554	Crosswalk - Two Lined	E COMMONS	Allegheny Center	1
2555	Crosswalk - Two Lined	E COMMONS	Allegheny Center	1
2556	Crosswalk - Two Lined	E COMMONS	Allegheny Center	1
2557	Crosswalk - Two Lined	CHILDREN'S WAY	Allegheny Center	1
2558	Crosswalk - Two Lined	CHILDREN'S WAY	Allegheny Center	1
2559	Crosswalk - Two Lined	ALLEGHENY SQ W	Allegheny Center	1
2560	Crosswalk - Two Lined	N COMMONS	Allegheny Center	1
2561	Crosswalk - Two Lined	HERRON AVE BRG	Lower Lawrenceville	7
2562	Crosswalk - Two Lined	WIND GAP AVE	Windgap	2
2563	Crosswalk - Two Lined	WIND GAP AVE	Windgap	2
2564	Crosswalk - Two Lined	BROADHEAD FORDING RD	Fairywood	2
2565	Crosswalk - Two Lined	BROADHEAD FORDING RD	Fairywood	2
2566	Crosswalk - Two Lined	VILLAGE RD	Fairywood	2
2567	Crosswalk - Two Lined	CHARTIERS AVE	Windgap	2
2568	Crosswalk - Two Lined	CHARTIERS AVE	Windgap	2
2569	Crosswalk - Two Lined	CHARTIERS AVE	Windgap	2
2570	Crosswalk - Two Lined	CHARTIERS AVE	Windgap	2
2571	Crosswalk - Ladder	CHARTIERS AVE	Sheraden	2
2572	Crosswalk - Continental	34TH ST	Lower Lawrenceville	7
2573	Crosswalk - Two Lined	CHARTIERS AVE	Sheraden	2
2574	Crosswalk - Two Lined	CHARTIERS AVE	Sheraden	2
2575	Crosswalk - Two Lined	CHARTIERS AVE	Sheraden	2
2576	Crosswalk - Two Lined	CHARTIERS AVE	Sheraden	2
2577	Crosswalk - Two Lined	CHARTIERS AVE	Sheraden	2
2578	Crosswalk - Two Lined	CHARTIERS AVE	Crafton Heights	2
2579	Crosswalk - Two Lined	CHARTIERS AVE	Elliott	2
2580	Crosswalk - Two Lined	CHARTIERS AVE	Elliott	2
2581	Crosswalk - Two Lined	CHARTIERS AVE	Elliott	2
2582	Crosswalk - Two Lined	CHARTIERS AVE	Elliott	2
2583	Crosswalk - Two Lined	36TH ST	Lower Lawrenceville	7
2584	Crosswalk - Two Lined	STEUBEN ST	West End	2
2585	Crosswalk - Two Lined	STEUBEN ST	West End	2
2586	Crosswalk - Two Lined	STEUBEN ST	Elliott	2
2587	Crosswalk - Two Lined	STEUBEN ST	Elliott	2
2588	Crosswalk - Two Lined	STEUBEN ST	Elliott	2
2589	Crosswalk - Two Lined	STEUBEN ST	Elliott	2
2590	Crosswalk - Two Lined	STEUBEN ST	Elliott	2
2591	Crosswalk - Two Lined	STEUBEN ST	Elliott	2
2592	Crosswalk - Two Lined	STEUBEN ST	Crafton Heights	2
2593	Crosswalk - Ladder	STEUBEN ST	Crafton Heights	2
2594	Crosswalk - Two Lined	36TH ST	Lower Lawrenceville	7
2595	Crosswalk - Two Lined	MIDDLETOWN RD	Sheraden	2
2596	Crosswalk - Two Lined	MIDDLETOWN RD	Windgap	2
2597	Crosswalk - Two Lined	MIDDLETOWN RD	Windgap	2
2598	Crosswalk - Two Lined	MIDDLETOWN RD	Chartiers City	2
2599	Crosswalk - Two Lined	LADOGA ST	Windgap	2
2600	Crosswalk - Two Lined	LADOGA ST	Sheraden	2
2601	Crosswalk - Two Lined	FAULKNER ST	Sheraden	2
2602	Crosswalk - Two Lined	FAULKNER ST	Sheraden	2
2603	Crosswalk - Two Lined	JEFFERS ST	Sheraden	2
2604	Crosswalk - Two Lined	FURMAN WAY	Sheraden	2
2605	Crosswalk - Two Lined	BANDERA ST	Lower Lawrenceville	7
2606	Crosswalk - Two Lined	KELVIN ST	Sheraden	2
2607	Crosswalk - Two Lined	FAIRDALE ST	Sheraden	2
2608	Crosswalk - Two Lined	FAIRDALE ST	Sheraden	2
2609	Crosswalk - Two Lined	ALLENDALE ST	Sheraden	2
2610	Crosswalk - Two Lined	ALLENDALE ST	Sheraden	2
2611	Crosswalk - Two Lined	ALLENDALE ST	Sheraden	2
2612	Crosswalk - Two Lined	ALLENDALE ST	Sheraden	2
2613	Crosswalk - Two Lined	ALLENDALE ST	Sheraden	2
2614	Crosswalk - Two Lined	SUTHERLAND ST	Sheraden	2
2615	Crosswalk - Two Lined	ADON ST	Sheraden	2
2616	Crosswalk - Two Lined	36TH ST	Lower Lawrenceville	7
2617	Crosswalk - Two Lined	DITZLER ST	Sheraden	2
2618	Crosswalk - Two Lined	HILLSBORO ST	Sheraden	2
2619	Crosswalk - Two Lined	HILLSBORO ST	Sheraden	2
2620	Crosswalk - Two Lined	HILLSBORO ST	Sheraden	2
2621	Crosswalk - Two Lined	SHERADEN BLVD	Sheraden	2
2622	Crosswalk - Two Lined	STRAKA ST	Crafton Heights	2
2623	Crosswalk - Two Lined	HILLSBORO ST	Sheraden	2
2624	Crosswalk - Two Lined	BERGMAN ST	Sheraden	2
2625	Crosswalk - Two Lined	CORLISS ST	Sheraden	2
2626	Crosswalk - Two Lined	OBEY AVE	Crafton Heights	2
2627	Crosswalk - Two Lined	37TH ST	Lower Lawrenceville	7
2628	Crosswalk - Ladder	WOODLOW ST	Crafton Heights	2
2629	Crosswalk - Two Lined	ATHERLY WAY	Crafton Heights	2
2630	Crosswalk - Two Lined	CUMBERLAND ST	Crafton Heights	2
2631	Crosswalk - Two Lined	CRAFTON BLVD	Crafton Heights	2
2632	Crosswalk - Two Lined	STRATMORE ST	Crafton Heights	2
2633	Crosswalk - Two Lined	OBEY AVE	Crafton Heights	2
2634	Crosswalk - Two Lined	WALBRIDGE ST	Elliott	2
2635	Crosswalk - Two Lined	S MAIN ST	West End	2
2636	Crosswalk - Two Lined	S MAIN ST	West End	2
2637	Crosswalk - Two Lined	S MAIN ST	West End	2
2638	Crosswalk - Two Lined	38TH ST	Lower Lawrenceville	7
2639	Crosswalk - Two Lined	S MAIN ST	West End	2
2640	Crosswalk - Two Lined	S MAIN ST	West End	2
2641	Crosswalk - Two Lined	S MAIN ST	West End	2
2642	Crosswalk - Two Lined	S MAIN ST	West End	2
2643	Crosswalk - Two Lined	STEUBEN ST	West End	2
2644	Crosswalk - Two Lined	WABASH ST	West End	2
2645	Crosswalk - Two Lined	WABASH ST	West End	2
2646	Crosswalk - Two Lined	WABASH ST	West End	2
2647	Crosswalk - Two Lined	WABASH ST	West End	2
2648	Crosswalk - Two Lined	WABASH ST	West End	2
2649	Crosswalk - Ladder	PENN AVE	Lower Lawrenceville	7
2650	Crosswalk - Two Lined	MCCARTNEY ST	West End	2
2651	Crosswalk - Two Lined	NEPTUNE ST	West End	2
2652	Crosswalk - Two Lined	ALEXANDER ST	West End	2
2653	Crosswalk - Two Lined	ALEXANDER ST	West End	2
2654	Crosswalk - Two Lined	SANCTUS ST	West End	2
2655	Crosswalk - Two Lined	SANCTUS ST	West End	2
2656	Crosswalk - Two Lined	LORENZ AVE	Elliott	2
2657	Crosswalk - Two Lined	LORENZ AVE	Elliott	2
2658	Crosswalk - Two Lined	LORENZ AVE	Elliott	2
2659	Crosswalk - Two Lined	LORENZ AVE	Elliott	2
2660	Crosswalk - Two Lined	LIBERTY AVE	Strip District	7
2661	Crosswalk - Two Lined	38TH ST	Lower Lawrenceville	7
2662	Crosswalk - Two Lined	RUE GRANDE VUE ST	Elliott	2
2663	Crosswalk - Two Lined	CRUCIBLE ST	Elliott	2
2664	Crosswalk - Two Lined	CRUCIBLE ST	Elliott	2
2665	Crosswalk - Two Lined	CRUCIBLE ST	Elliott	2
2666	Crosswalk - Two Lined	NOBLESTOWN RD	Westwood	2
2667	Crosswalk - Two Lined	NOBLESTOWN RD	Westwood	2
2668	Crosswalk - Two Lined	NOBLESTOWN RD	Westwood	2
2669	Crosswalk - Two Lined	NOBLESTOWN RD	Westwood	2
2670	Crosswalk - Continental	NOBLESTOWN RD	Westwood	2
2671	Crosswalk - Continental	NOBLESTOWN RD		
2672	Crosswalk - Two Lined	37TH ST	Lower Lawrenceville	7
2673	Crosswalk - Continental	NOBLESTOWN RD	Oakwood	
2674	Crosswalk - Continental	NOBLESTOWN RD		
2675	Crosswalk - Two Lined	DURBIN ST	Oakwood	2
2676	Crosswalk - Two Lined	DURBIN ST	Oakwood	2
2677	Crosswalk - Two Lined	CRAFTMONT AVE	Oakwood	2
2678	Crosswalk - Two Lined	CRAFTMONT AVE	Oakwood	2
2679	Crosswalk - Two Lined	OAKWOOD RD	Oakwood	2
2680	Crosswalk - Two Lined	POPLAR ST	Oakwood	2
2681	Crosswalk - Two Lined	GUYLAND ST	Westwood	2
2682	Crosswalk - Two Lined	WARRIORS RD	Westwood	2
2683	Crosswalk - Two Lined	BUTLER ST	Lower Lawrenceville	7
2684	Crosswalk - Two Lined	HARRIS AVE	Westwood	2
2685	Crosswalk - Two Lined	COLESCOTT ST	Westwood	2
2686	Crosswalk - Ladder	GRANDVIEW AVE	Duquesne Heights	2
2687	Crosswalk - Ladder	GRANDVIEW AVE	Duquesne Heights	2
2688	Crosswalk - Two Lined	GRANDVIEW AVE	Mount Washington	2
2689	Crosswalk - Two Lined	GRANDVIEW AVE	Mount Washington	2
2690	Crosswalk - Two Lined	GRANDVIEW AVE	Mount Washington	2
2691	Crosswalk - Two Lined	GRANDVIEW AVE	Mount Washington	2
2692	Crosswalk - Two Lined	GRANDVIEW AVE	Mount Washington	2
2693	Crosswalk - Two Lined	GRANDVIEW AVE	Mount Washington	2
2694	Crosswalk - Two Lined	37TH ST	Lower Lawrenceville	7
2695	Crosswalk - Ladder	GRANDVIEW AVE	Mount Washington	2
2696	Crosswalk - Ladder	GRANDVIEW AVE	Mount Washington	2
2697	Crosswalk - Continental	GRANDVIEW AVE	Mount Washington	2
2698	Crosswalk - Continental	GRANDVIEW AVE	Mount Washington	2
2699	Crosswalk - Two Lined	SHALER ST	Duquesne Heights	2
2700	Crosswalk - Two Lined	SHALER ST	Duquesne Heights	2
2701	Crosswalk - Two Lined	GREENLEAF ST	Duquesne Heights	2
2702	Crosswalk - Two Lined	SWEETBRIAR ST	Duquesne Heights	2
2703	Crosswalk - Ladder	ONEIDA ST	Duquesne Heights	2
2704	Crosswalk - Two Lined	MERIDAN ST	Mount Washington	2
2705	Crosswalk - Two Lined	BUTLER ST	Lower Lawrenceville	7
2706	Crosswalk - Ladder	VIRGINIA AVE	Mount Washington	2
2707	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2708	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2709	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2710	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2711	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2712	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2713	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2714	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2715	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2716	Crosswalk - Continental	39TH ST	Lower Lawrenceville	7
2717	Crosswalk - Two Lined	VIRGINIA AVE	Mount Washington	2
2718	Crosswalk - Ladder	OLYMPIA ST	Mount Washington	2
2719	Crosswalk - Two Lined	BIGHAM ST	Mount Washington	2
2720	Crosswalk - Two Lined	BIGHAM ST	Mount Washington	2
2721	Crosswalk - Two Lined	MERRIMAC ST	Mount Washington	2
2722	Crosswalk - Two Lined	MERRIMAC ST	Mount Washington	2
2723	Crosswalk - Two Lined	MERRIMAC ST	Mount Washington	2
2724	Crosswalk - Two Lined	MERRIMAC ST	Mount Washington	2
2725	Crosswalk - Two Lined	P J MCARDLE RDWY	Mount Washington	2
2726	Crosswalk - Two Lined	P J MCARDLE RDWY	Mount Washington	2
2727	Crosswalk - Continental	BUTLER ST	Lower Lawrenceville	7
2728	Crosswalk - Two Lined	BERTHA ST	Mount Washington	2
2729	Crosswalk - Two Lined	WOODRUFF ST	Mount Washington	2
2730	Crosswalk - Two Lined	KEARSARGE ST	Mount Washington	2
2731	Crosswalk - Ladder	MAPLE TER	Mount Washington	2
2732	Crosswalk - Two Lined	MAPLE TER	Mount Washington	2
2733	Crosswalk - Two Lined	MAPLE TER	Mount Washington	2
2734	Crosswalk - Continental	SHILOH ST	Mount Washington	2
2735	Crosswalk - Two Lined	WYOMING ST	Mount Washington	2
2736	Crosswalk - Two Lined	WYOMING ST	Mount Washington	2
2737	Crosswalk - Two Lined	WYOMING ST	Mount Washington	2
2738	Crosswalk - Continental	39TH ST	Lower Lawrenceville	7
2739	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	2
2740	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	2
2741	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	2
2742	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	2
2743	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	2
2744	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	4
2745	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	4
2746	Crosswalk - Two Lined	SOUTHERN AVE	Mount Washington	4
2747	Crosswalk - Two Lined	MERIDAN ST	Mount Washington	2
2748	Crosswalk - Two Lined	MERIDAN ST	Duquesne Heights	2
2749	Crosswalk - Continental	40TH ST	Lower Lawrenceville	7
2750	Crosswalk - Two Lined	ONEIDA ST	Duquesne Heights	2
2751	Crosswalk - Two Lined	PIERMONT ST	Duquesne Heights	2
2752	Crosswalk - Two Lined	PAWNEE ST	Mount Washington	2
2753	Crosswalk - Two Lined	PAWNEE ST	Mount Washington	2
2754	Crosswalk - Two Lined	PAWNEE ST	Duquesne Heights	2
2755	Crosswalk - Two Lined	COHASSETT ST	Duquesne Heights	2
2756	Crosswalk - Two Lined	COHASSETT ST	Duquesne Heights	2
2757	Crosswalk - Two Lined	SHILOH ST	Mount Washington	2
2758	Crosswalk - Two Lined	SHILOH ST	Mount Washington	2
2759	Crosswalk - Two Lined	NATCHEZ ST	Mount Washington	2
2760	Crosswalk - Continental	BUTLER ST	Central Lawrenceville	7
2761	Crosswalk - Two Lined	PROSPECT ST	Mount Washington	2
2762	Crosswalk - Two Lined	COWAN ST	Mount Washington	2
2763	Crosswalk - Two Lined	COWAN ST	Mount Washington	2
2764	Crosswalk - Two Lined	COWAN ST	Mount Washington	2
2765	Crosswalk - Two Lined	NORTON WAY	Mount Washington	2
2766	Crosswalk - Two Lined	NORTON ST	Mount Washington	2
2767	Crosswalk - Two Lined	GRAY ST	Mount Washington	2
2768	Crosswalk - Two Lined	SANDWICH ST	Mount Washington	2
2769	Crosswalk - Two Lined	SIMMS ST	Mount Washington	2
2770	Crosswalk - Two Lined	SOFFEL ST	Mount Washington	4
2771	Crosswalk - Ladder	PENN AVE	Strip District	7
2772	Crosswalk - Continental	40TH ST	Lower Lawrenceville	7
2773	Crosswalk - Two Lined	BOGGS AVE	Mount Washington	4
2774	Crosswalk - Two Lined	BOGGS AVE	Mount Washington	2
2775	Crosswalk - Two Lined	BOGGS AVE	Mount Washington	2
2776	Crosswalk - Two Lined	BAILEY AVE	Mount Washington	3
2777	Crosswalk - Two Lined	BAILEY AVE	Mount Washington	3
2778	Crosswalk - Two Lined	BAILEY AVE	Mount Washington	3
2779	Crosswalk - Two Lined	BELTZHOOVER AVE	Allentown	3
2780	Crosswalk - Two Lined	BELTZHOOVER AVE	Mount Washington	3
2781	Crosswalk - Two Lined	BELTZHOOVER AVE	Mount Washington	3
2782	Crosswalk - Two Lined	BELTZHOOVER AVE	Beltzhoover	3
2783	Crosswalk - Continental	BUTLER ST	Lower Lawrenceville	7
2784	Crosswalk - Two Lined	BELTZHOOVER AVE	Beltzhoover	3
2785	Crosswalk - Two Lined	BELTZHOOVER AVE	Beltzhoover	3
2786	Crosswalk - Two Lined	RUTH ST	Mount Washington	2
2787	Crosswalk - Two Lined	SECANE AVE	Mount Washington	3
2788	Crosswalk - Two Lined	SECANE AVE	Mount Washington	3
2789	Crosswalk - Two Lined	HARWOOD ST	Mount Washington	3
2790	Crosswalk - Two Lined	HARWOOD ST	Mount Washington	3
2791	Crosswalk - Two Lined	CUSHMAN ST	Mount Washington	3
2792	Crosswalk - Two Lined	EUREKA ST	Mount Washington	3
2793	Crosswalk - Two Lined	EUREKA ST	Mount Washington	3
2794	Crosswalk - Two Lined	MAIN ST	Central Lawrenceville	7
